,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Transaction_ID,Timestamp,Amount,Merchant,Card_Type,Device,Is_Fraud,Estado,Tipo_Comercio,Uso_Internacional,Historial_Usuario
37,2025-01-20 11:00:00,36.33,Skinner-Hess,Amex,Mobile,0,Veracruz,Entretenimiento,0,26
38,2025-01-11 01:56:00,10.28,Banks Group,MasterCard,Tablet,0,EdoMex,Servicios,0,48
39,2025-01-31 10:15:00,115.28,"Hayden, Cannon and Reeves",Discover,Desktop,0,Jalisco,Electrónica,0,19
40,2025-01-16 07:44:00,58.01,Tyler and Sons,MasterCard,Mobile,0,EdoMex,Servicios,0,46
41,2025-01-10 05:41:00,13.02,Shields Ltd,Discover,Desktop,0,Tamaulipas,Electrónica,0,10
42,2025-01-28 02:18:00,68.35,"Johnson, Jones and Sweeney",Visa,Mobile,0,Jalisco,Servicios,0,14
43,2025-01-05 04:35:00,3.5,"Smith, Bailey and Madden",Amex,Mobile,0,Baja California,Restaurante,0,23
44,2025-01-24 22:11:00,240.04,"Cline, Brown and Brown",Amex,Desktop,0,Guanajuato,Entretenimiento,0,43
45,2025-01-17 08:00:00,29.95,Smith Inc,MasterCard,Tablet,0,Veracruz,Supermercado,0,11
46,2025-01-19 18:40:00,108.63,Harmon-Pratt,Amex,Tablet,0,CDMX,Restaurante,0,23
47,2025-01-24 15:32:00,37.35,Gaines LLC,MasterCard,Mobile,0,Michoacán,Electrónica,0,16
48,2025-01-14 06:36:00,73.41,"Powell, Marquez and Wilson",MasterCard,Tablet,0,CDMX,Servicios,0,41
49,2025-01-11 20:43:00,79.12,Gilbert PLC,Discover,Mobile,0,EdoMex,Supermercado,0,41
50,2025-01-18 20:17:00,20.44,Webb LLC,MasterCard,Tablet,0,Baja California,Retail,0,36
51,2025-01-04 08:20:00,349.28,Garrison-Gilmore,Discover,Desktop,0,Chihuahua,Servicios,0,33
52,2025-02-05 02:45:00,149.22,"Richardson, Smith and Barajas",Amex,Tablet,0,Jalisco,Restaurante,0,50
53,2025-01-15 05:31:00,280.51,"Simmons, Pearson and Gutierrez",MasterCard,Mobile,0,Veracruz,Servicios,0,47
54,2025-01-13 18:12:00,225.22,"Lee, Dean and Mathews",MasterCard,Mobile,0,Sonora,Turismo,0,14
55,2025-01-24 22:53:00,91.11,Moore-Stone,Visa,Tablet,0,Jalisco,Supermercado,0,8
56,2025-01-21 14:57:00,254.94,"Silva, Collins and Griffin",MasterCard,Desktop,0,Sonora,Supermercado,0,47
57,2025-01-14 01:00:00,9.27,Nguyen-Davis,MasterCard,Mobile,0,CDMX,Electrónica,0,27
58,2025-01-11 17:32:00,21.81,Evans PLC,Visa,Mobile,0,Michoacán,Servicios,0,3
59,2025-02-04 16:06:00,4.63,Smith PLC,Visa,Mobile,0,CDMX,Retail,0,39
60,2025-01-19 13:19:00,39.35,Clark LLC,Amex,Mobile,0,Puebla,Entretenimiento,0,5
61,2025-01-17 08:16:00,49.21,Andrews Ltd,MasterCard,Mobile,0,Chihuahua,Entretenimiento,0,13
62,2025-01-09 14:12:00,31.66,"Shannon, Davis and Garcia",Amex,Desktop,0,Nuevo León,Supermercado,0,4
63,2025-01-26 03:19:00,176.46,Dixon LLC,Amex,Tablet,0,Nuevo León,Restaurante,0,50
64,2025-01-24 19:35:00,44.12,Horn-Brown,Visa,Desktop,0,Nuevo León,Restaurante,0,14
65,2025-01-15 10:53:00,32.98,Banks-Alvarado,Discover,Desktop,0,Sonora,Servicios,0,12
66,2025-01-07 04:32:00,78.24,Jones PLC,Amex,Mobile,0,Jalisco,Electrónica,0,26
67,2025-01-31 07:04:00,15.19,Welch-Miller,Discover,Desktop,0,Sonora,Servicios,0,1
68,2025-01-05 01:27:00,162.05,Barnett-Maldonado,MasterCard,Mobile,0,Sonora,Entretenimiento,0,29
69,2025-02-02 11:45:00,7.75,Brown-Donaldson,Visa,Desktop,0,Jalisco,Turismo,0,42
70,2025-02-05 07:45:00,433.41,"Fisher, Neal and Cook",MasterCard,Mobile,0,Michoacán,Restaurante,0,45
71,2025-01-19 04:09:00,147.95,"Castillo, Ruiz and Mason",MasterCard,Mobile,0,Puebla,Electrónica,0,33
72,2025-01-26 09:12:00,22.15,Torres-Humphrey,Visa,Desktop,0,Coahuila,Restaurante,0,32
73,2025-01-31 14:58:00,0.55,Mills Group,MasterCard,Desktop,0,Tamaulipas,Retail,0,41
74,2025-02-01 08:31:00,168.99,"Garcia, Barber and Finley",Visa,Tablet,0,Guanajuato,Turismo,0,12
75,2025-01-18 23:33:00,122.71,Holloway Group,Discover,Tablet,0,CDMX,Restaurante,0,46
76,2025-01-10 03:59:00,130.57,Smith Group,MasterCard,Tablet,0,Tamaulipas,Electrónica,0,22
77,2025-01-15 03:58:00,147.52,Clark-Norris,Visa,Desktop,0,Guanajuato,Supermercado,0,18
78,2025-01-02 01:56:00,7.69,Sanchez-Francis,Amex,Desktop,0,Michoacán,Supermercado,0,31
79,2025-01-19 02:41:00,44.39,Carter-Hatfield,MasterCard,Mobile,1,Veracruz,Supermercado,0,21
80,2025-01-04 06:44:00,12.32,Jones-Gray,Discover,Tablet,0,Coahuila,Turismo,0,40
81,2025-01-19 05:11:00,198.85,Stokes PLC,Visa,Mobile,0,Nuevo León,Entretenimiento,0,10
82,2025-01-19 01:04:00,97.63,Gomez-Oneal,MasterCard,Mobile,0,Baja California,Electrónica,0,45
83,2025-02-04 09:25:00,40.18,Miller-Jones,MasterCard,Mobile,0,Nuevo León,Retail,0,40
84,2025-01-29 02:52:00,6.57,Garcia-Mathews,MasterCard,Mobile,0,Jalisco,Turismo,0,27
85,2025-01-05 02:41:00,37.25,"Ellis, Thompson and Cole",Discover,Tablet,0,Jalisco,Restaurante,0,12
86,2025-01-06 15:55:00,39.33,Olsen LLC,Visa,Mobile,0,EdoMex,Electrónica,0,47
87,2025-01-05 02:31:00,130.79,Mclaughlin LLC,Amex,Desktop,0,Michoacán,Restaurante,0,25
88,2025-02-05 11:48:00,101.49,"Yoder, Owens and Dean",Amex,Desktop,0,Guanajuato,Supermercado,0,39
89,2025-01-08 18:52:00,218.23,"Jones, Walker and Weaver",Amex,Desktop,0,EdoMex,Supermercado,0,38
90,2025-01-31 05:02:00,63.91,"Cole, Ortega and Jennings",Visa,Tablet,0,Tamaulipas,Turismo,0,5
91,2025-01-08 14:19:00,12.74,"Walker, Goodwin and Williams",Amex,Mobile,0,Tamaulipas,Restaurante,0,36
92,2025-01-12 22:31:00,124.91,Morgan Inc,Discover,Tablet,0,Baja California,Electrónica,0,19
93,2025-01-25 02:54:00,143.04,Bowen-Scott,Visa,Mobile,0,CDMX,Entretenimiento,0,4
94,2025-01-12 21:35:00,82.39,Willis Inc,MasterCard,Tablet,0,Tamaulipas,Turismo,0,11
95,2025-01-14 07:18:00,147.39,"Martin, Flowers and Anderson",Discover,Tablet,0,EdoMex,Servicios,0,22
96,2025-01-22 20:51:00,68.08,"Smith, Taylor and Ryan",MasterCard,Mobile,0,Guanajuato,Retail,0,35
97,2025-01-31 09:40:00,73.97,Lawson-Scott,Amex,Tablet,0,Puebla,Turismo,0,43
98,2025-01-30 09:20:00,55.78,Oconnor PLC,Discover,Mobile,0,Puebla,Restaurante,0,26
99,2025-01-15 19:13:00,2.57,"Martin, Day and Barnett",Visa,Desktop,0,Chihuahua,Electrónica,0,1
100,2025-02-02 11:04:00,11.42,"Gomez, Bradley and Williams",Discover,Desktop,0,Chihuahua,Turismo,0,33
101,2025-01-06 14:42:00,3.19,"Smith, Green and Patel",MasterCard,Desktop,0,Veracruz,Retail,0,46
102,2025-01-03 03:49:00,101.17,"Ellis, Ruiz and Adams",Visa,Tablet,0,Baja California,Entretenimiento,0,10
103,2025-01-08 19:20:00,37.74,Thomas-Dunn,Discover,Desktop,0,CDMX,Servicios,0,16
104,2025-02-03 11:49:00,71.04,"Williams, Andrews and Jackson",Discover,Mobile,0,Nuevo León,Entretenimiento,0,18
105,2025-01-28 13:53:00,238.13,Smith-Schmidt,Discover,Desktop,0,Coahuila,Supermercado,0,50
106,2025-01-19 20:33:00,28.67,Walker-Stewart,Discover,Desktop,0,Puebla,Electrónica,0,26
107,2025-01-20 12:24:00,52.83,Brown and Sons,Visa,Tablet,0,Sonora,Servicios,0,21
108,2025-01-22 08:07:00,140.87,"Haynes, Ryan and Fowler",MasterCard,Mobile,0,Chihuahua,Retail,0,46
109,2025-01-20 00:06:00,25.98,Doyle-Morris,Discover,Tablet,0,Sonora,Electrónica,0,26
110,2025-01-18 08:17:00,8.01,"Rojas, Thornton and Perry",Visa,Tablet,0,Michoacán,Restaurante,0,8
111,2025-01-04 05:11:00,34.21,Taylor Ltd,MasterCard,Mobile,0,Tamaulipas,Supermercado,0,31
112,2025-01-18 09:38:00,17.58,Lang Ltd,Discover,Tablet,0,Veracruz,Electrónica,0,14
113,2025-01-24 11:34:00,265.5,Fuller-Young,MasterCard,Mobile,0,Guanajuato,Retail,0,48
114,2025-01-15 11:57:00,165.09,"Knox, Cruz and Roberts",MasterCard,Desktop,0,Nuevo León,Supermercado,0,32
115,2025-01-25 16:01:00,100.35,Caldwell-White,Visa,Mobile,0,Chihuahua,Turismo,0,42
116,2025-02-03 00:02:00,205.15,"Gay, Stein and Delgado",MasterCard,Mobile,0,Guanajuato,Restaurante,0,12
117,2025-01-06 23:20:00,162.8,Jones and Sons,Visa,Mobile,0,Sonora,Retail,0,46
118,2025-01-01 16:53:00,20.65,Avery-Townsend,Discover,Tablet,0,Guanajuato,Servicios,0,15
119,2025-01-16 17:46:00,223.08,Anthony-Higgins,MasterCard,Mobile,0,Chihuahua,Electrónica,0,3
120,2025-01-24 14:08:00,77.51,Miller Ltd,MasterCard,Mobile,0,Baja California,Retail,0,23
121,2025-01-17 19:00:00,164.73,Allison-Gonzales,Amex,Mobile,0,EdoMex,Supermercado,0,15
122,2025-02-05 04:07:00,226.42,"Fernandez, Jackson and Gross",Discover,Desktop,0,EdoMex,Supermercado,0,23
123,2025-01-22 08:22:00,38.27,Phillips Group,Discover,Mobile,0,Tamaulipas,Restaurante,0,46
124,2025-01-22 11:54:00,11.66,Rodriguez Inc,Amex,Tablet,0,Puebla,Entretenimiento,0,23
125,2025-01-17 07:40:00,25.87,Jacobs-Kelly,Amex,Mobile,0,CDMX,Restaurante,0,5
126,2025-01-05 15:52:00,55.71,Kim and Sons,Visa,Mobile,0,Tamaulipas,Entretenimiento,0,39
127,2025-02-05 00:39:00,170.38,Bond LLC,Visa,Desktop,0,Michoacán,Supermercado,0,45
128,2025-02-05 04:22:00,197.13,Rosales-Velazquez,MasterCard,Mobile,0,EdoMex,Restaurante,0,10
129,2025-01-07 10:46:00,0.7,"Wright, Meyer and Cannon",MasterCard,Tablet,0,Nuevo León,Servicios,0,28
130,2025-01-22 01:05:00,71.49,"Franklin, Smith and Hurley",MasterCard,Mobile,0,CDMX,Servicios,0,23
131,2025-01-21 16:03:00,54.03,"Poole, Ingram and Orozco",MasterCard,Tablet,0,Michoacán,Servicios,0,46
132,2025-02-02 06:31:00,25.12,Ayala Inc,Visa,Desktop,0,Tamaulipas,Turismo,0,45
133,2025-01-18 10:51:00,12.77,Juarez LLC,Discover,Mobile,0,EdoMex,Electrónica,0,28
134,2025-02-04 06:13:00,41.19,Costa-Bonilla,MasterCard,Desktop,0,Guanajuato,Servicios,0,41
135,2025-01-09 05:59:00,286.31,Burns-Osborne,Discover,Mobile,0,Baja California,Turismo,0,1
136,2025-01-30 21:50:00,39.04,Smith-Cisneros,MasterCard,Tablet,0,Sonora,Electrónica,0,14
137,2025-01-16 03:00:00,73.15,Sherman and Sons,Amex,Desktop,0,Tamaulipas,Retail,0,46
138,2025-01-18 06:23:00,121.41,Sanders Group,MasterCard,Mobile,0,Guanajuato,Retail,0,24
139,2025-02-05 18:18:00,45.2,Rush-Pena,MasterCard,Tablet,1,Tamaulipas,Restaurante,0,11
140,2025-02-03 21:55:00,356.78,Foster Ltd,MasterCard,Desktop,0,Nuevo León,Retail,0,40
141,2025-01-09 00:48:00,328.2,"Green, Jackson and Lawrence",Visa,Mobile,0,Tamaulipas,Retail,0,17
142,2025-01-10 16:01:00,29.01,Clark PLC,Amex,Desktop,0,Chihuahua,Electrónica,0,39
143,2025-01-18 08:14:00,68.77,Perez-Daniels,MasterCard,Mobile,0,Baja California,Restaurante,0,34
144,2025-02-04 13:14:00,35.79,Johnson PLC,MasterCard,Tablet,0,Michoacán,Servicios,0,10
145,2025-02-01 12:34:00,33.52,Smith PLC,Discover,Tablet,0,Veracruz,Servicios,0,46
146,2025-01-16 17:33:00,3.76,"Anderson, Anderson and Charles",Amex,Desktop,0,EdoMex,Turismo,0,36
147,2025-01-21 23:08:00,94.05,Ashley PLC,MasterCard,Desktop,0,Guanajuato,Electrónica,0,17
148,2025-01-12 14:35:00,69.85,Matthews-Webb,Discover,Mobile,0,Chihuahua,Servicios,0,15
149,2025-01-14 21:24:00,5.29,Arellano and Sons,Discover,Tablet,0,Guanajuato,Retail,0,19
150,2025-01-24 19:21:00,32.66,Parker-Garza,Visa,Mobile,0,Baja California,Supermercado,0,27
151,2025-01-28 02:36:00,238.89,Hicks and Sons,Discover,Tablet,0,EdoMex,Turismo,0,2
152,2025-01-27 21:26:00,27.39,Sanders and Sons,MasterCard,Desktop,0,Michoacán,Entretenimiento,0,32
153,2025-01-30 02:08:00,15.65,"Hill, Love and Barron",Visa,Mobile,0,CDMX,Supermercado,0,28
154,2025-01-15 07:40:00,67.23,"Parker, Smith and Lynn",Visa,Mobile,0,Puebla,Electrónica,0,37
155,2025-01-17 14:01:00,424.4,Miller-Horne,MasterCard,Tablet,0,Puebla,Servicios,0,2
156,2025-01-07 15:40:00,27.71,"Russell, Smith and Benitez",Amex,Tablet,0,Veracruz,Servicios,0,39
157,2025-01-12 17:34:00,111.52,"Adams, Drake and Lopez",Discover,Tablet,0,Veracruz,Entretenimiento,0,46
158,2025-01-30 10:40:00,143.39,Obrien LLC,Visa,Desktop,0,Chihuahua,Electrónica,0,50
159,2025-02-02 14:06:00,27.13,"Brown, Bautista and Hernandez",Amex,Mobile,0,Veracruz,Turismo,0,5
160,2025-01-05 08:16:00,130.27,Roberts LLC,MasterCard,Tablet,0,Veracruz,Retail,0,23
161,2025-02-02 14:58:00,45.85,"Cooper, Harrison and Cline",Discover,Desktop,0,Sonora,Supermercado,0,3
162,2025-01-03 14:12:00,100.05,Perez PLC,Discover,Tablet,0,Baja California,Servicios,0,50
163,2025-01-24 10:08:00,100.38,Holder Inc,Visa,Mobile,0,Tamaulipas,Entretenimiento,0,1
164,2025-01-14 07:09:00,76.74,"Morgan, Gardner and Martin",Discover,Tablet,0,Coahuila,Servicios,0,2
165,2025-01-18 23:17:00,9.46,Brown PLC,Discover,Mobile,0,Sonora,Electrónica,0,10
166,2025-01-11 22:22:00,180.36,Ramirez-Anderson,Discover,Desktop,0,CDMX,Supermercado,0,29
167,2025-01-28 13:41:00,38.68,"Burke, Steele and Freeman",Discover,Desktop,0,CDMX,Turismo,0,42
168,2025-01-07 20:30:00,20.64,"Johnson, Giles and Jones",MasterCard,Tablet,0,Nuevo León,Supermercado,0,32
169,2025-01-24 11:14:00,4.16,Jones Ltd,Amex,Mobile,0,Chihuahua,Entretenimiento,0,21
170,2025-01-24 08:55:00,89.38,Williams Inc,MasterCard,Mobile,0,Sonora,Supermercado,0,33
171,2025-02-04 20:05:00,113.19,"Lucas, Lang and Garcia",MasterCard,Mobile,0,Tamaulipas,Servicios,0,4
172,2025-01-22 01:52:00,1.67,"Harris, Robinson and Ortiz",Visa,Tablet,0,Tamaulipas,Retail,0,43
173,2025-01-11 18:30:00,71.76,Chavez-Costa,Discover,Mobile,0,Guanajuato,Turismo,0,22
174,2025-01-31 20:48:00,25.68,Cervantes Group,MasterCard,Mobile,0,Sonora,Servicios,0,41
175,2025-01-05 05:07:00,103.61,"Adams, Dixon and Hancock",Discover,Mobile,0,Michoacán,Turismo,0,6
176,2025-01-13 01:06:00,19.16,Lawson PLC,MasterCard,Mobile,0,Sonora,Restaurante,0,8
177,2025-01-07 23:27:00,117.42,Lopez and Sons,MasterCard,Tablet,0,Baja California,Servicios,0,35
178,2025-01-22 14:46:00,48.9,Ramos Ltd,Visa,Tablet,0,Veracruz,Turismo,0,31
179,2025-01-23 19:06:00,276.03,"Gardner, Orr and Schultz",Amex,Mobile,0,Veracruz,Entretenimiento,0,49
180,2025-01-13 15:45:00,14.79,Collier Inc,Amex,Mobile,0,Coahuila,Retail,0,3
181,2025-01-20 03:43:00,41.71,"Porter, Hill and Lin",MasterCard,Desktop,0,Tamaulipas,Restaurante,0,42
182,2025-01-17 02:09:00,12.04,Jensen Group,Visa,Desktop,0,Tamaulipas,Electrónica,0,49
183,2025-01-02 07:31:00,258.62,Gutierrez-Robinson,Discover,Mobile,0,CDMX,Turismo,0,4
184,2025-02-05 20:10:00,209.83,Porter-Daugherty,Discover,Mobile,0,Chihuahua,Retail,0,14
185,2025-01-17 15:56:00,29.83,"Montoya, Hernandez and Pham",MasterCard,Desktop,0,CDMX,Servicios,0,3
186,2025-01-31 03:48:00,107.88,Bowers-Thompson,Amex,Desktop,0,EdoMex,Supermercado,0,23
187,2025-01-03 20:31:00,169.95,Hammond PLC,Visa,Mobile,0,Puebla,Servicios,0,4
188,2025-01-11 02:34:00,81.01,Wagner and Sons,Amex,Tablet,0,Veracruz,Supermercado,0,36
189,2025-01-13 09:15:00,75.43,Woodward Inc,Discover,Tablet,0,Michoacán,Restaurante,0,9
190,2025-01-17 12:54:00,27.69,Bird LLC,Amex,Mobile,0,Guanajuato,Supermercado,0,39
191,2025-01-06 22:56:00,9.77,Mills LLC,Discover,Mobile,0,Veracruz,Servicios,0,43
192,2025-02-02 12:02:00,227.51,"Boyer, Knight and Valenzuela",Visa,Desktop,0,EdoMex,Entretenimiento,0,23
193,2025-01-25 11:59:00,230.68,"Palmer, Santiago and Jackson",Visa,Desktop,0,Baja California,Entretenimiento,0,20
194,2025-01-27 00:27:00,100.27,"Young, Turner and Mack",MasterCard,Tablet,0,Veracruz,Retail,0,1
195,2025-01-28 04:18:00,41.4,"Hall, Frazier and Martin",MasterCard,Mobile,0,Nuevo León,Retail,0,45
196,2025-01-28 16:05:00,42.96,"Weaver, Walker and Brock",Amex,Desktop,0,Veracruz,Restaurante,0,47
197,2025-01-19 22:16:00,129.45,"Kelley, House and Leonard",Visa,Tablet,0,Coahuila,Supermercado,0,16
198,2025-01-25 08:49:00,227.41,Delacruz PLC,Visa,Tablet,0,Jalisco,Electrónica,0,15
199,2025-01-11 02:53:00,218.11,Rios Inc,MasterCard,Tablet,0,Chihuahua,Electrónica,0,18
200,2025-01-30 04:33:00,151.36,Bell LLC,Discover,Desktop,0,EdoMex,Retail,0,2
201,2025-01-23 16:01:00,102.73,Wang and Sons,Amex,Desktop,0,Guanajuato,Entretenimiento,0,24
202,2025-01-26 00:36:00,8.79,"Thompson, Tran and Pierce",Amex,Mobile,0,Jalisco,Retail,0,20
203,2025-01-25 02:45:00,17.63,Murphy-Ortiz,MasterCard,Mobile,0,Guanajuato,Electrónica,0,40
204,2025-01-05 22:00:00,228.82,Johnston and Sons,Visa,Tablet,0,Guanajuato,Retail,0,49
205,2025-01-11 16:18:00,93.25,"Mosley, Reynolds and Watson",MasterCard,Tablet,0,Guanajuato,Retail,0,15
206,2025-01-26 23:10:00,0.92,Sharp Ltd,MasterCard,Desktop,0,Michoacán,Servicios,0,49
207,2025-01-25 11:34:00,10.7,Rich-Austin,MasterCard,Desktop,0,Veracruz,Servicios,0,18
208,2025-01-05 09:24:00,108.92,"Ferguson, Tanner and James",MasterCard,Mobile,0,Tamaulipas,Retail,0,40
209,2025-01-03 11:48:00,0.51,Williams-Holmes,Discover,Mobile,0,Puebla,Electrónica,0,28
210,2025-01-08 20:08:00,17.53,Sanchez-Rose,Discover,Mobile,0,Coahuila,Restaurante,0,49
211,2025-01-20 09:39:00,79.57,Gonzales-Pitts,Visa,Desktop,0,Coahuila,Electrónica,0,48
212,2025-02-03 23:07:00,117.73,Young LLC,MasterCard,Tablet,0,Baja California,Retail,0,8
213,2025-01-12 14:29:00,105.54,Horton Group,Discover,Mobile,0,Veracruz,Entretenimiento,0,34
214,2025-01-13 06:38:00,25.39,Allen-Mccarthy,Visa,Mobile,0,Veracruz,Retail,0,17
215,2025-01-14 14:12:00,124.54,Parker-Berry,MasterCard,Desktop,0,Guanajuato,Turismo,0,14
216,2025-01-27 18:15:00,27.08,Powell-Martin,Amex,Mobile,0,Chihuahua,Entretenimiento,0,1
217,2025-01-22 02:04:00,39.36,Bender LLC,Discover,Tablet,0,Baja California,Supermercado,0,5
218,2025-01-17 07:36:00,137.24,Rodriguez-Haney,Visa,Desktop,0,Coahuila,Supermercado,0,21
219,2025-01-25 15:13:00,104.88,"Garcia, Leon and Evans",Amex,Mobile,0,Sonora,Retail,0,15
220,2025-01-07 03:52:00,189.2,Roberts Group,MasterCard,Mobile,0,CDMX,Electrónica,0,10
221,2025-01-07 19:18:00,107.18,Wise-Davis,MasterCard,Desktop,0,Chihuahua,Retail,0,38
222,2025-01-03 20:40:00,84,Valencia Group,MasterCard,Desktop,0,Chihuahua,Turismo,0,42
223,2025-01-02 07:18:00,9.84,Gomez and Sons,Discover,Mobile,0,Guanajuato,Retail,0,10
224,2025-01-18 21:51:00,45.84,Jarvis-Jones,Visa,Tablet,0,Puebla,Turismo,0,5
225,2025-01-14 21:41:00,30.82,"Johnson, Poole and Lopez",Amex,Desktop,0,EdoMex,Servicios,0,31
226,2025-01-17 05:46:00,27.97,"Rice, Patterson and Adams",Visa,Tablet,0,Chihuahua,Supermercado,0,14
227,2025-01-27 20:08:00,361.23,"Matthews, Howard and Perez",Discover,Mobile,0,Tamaulipas,Supermercado,0,6
228,2025-02-02 11:04:00,49.94,Yang PLC,Visa,Tablet,0,Tamaulipas,Electrónica,0,50
229,2025-01-07 14:54:00,222.61,Franklin Group,Discover,Mobile,0,Chihuahua,Restaurante,0,8
230,2025-01-11 07:49:00,99.73,Villegas-Gutierrez,MasterCard,Mobile,1,CDMX,Entretenimiento,0,9
231,2025-01-01 15:42:00,158.38,Nelson and Sons,Amex,Mobile,0,Guanajuato,Supermercado,0,9
232,2025-01-20 18:17:00,69.84,Brown-Lane,MasterCard,Mobile,0,EdoMex,Turismo,0,19
233,2025-01-27 20:23:00,86.02,"Bernard, Alexander and Miller",Visa,Tablet,0,CDMX,Entretenimiento,0,5
234,2025-01-24 12:37:00,67.83,Rodriguez LLC,MasterCard,Mobile,0,Sonora,Servicios,0,50
235,2025-01-19 19:04:00,21.72,Pacheco-West,Amex,Mobile,0,Nuevo León,Electrónica,0,34
236,2025-01-10 06:10:00,128.18,Delacruz-Stephens,MasterCard,Tablet,0,Sonora,Turismo,0,27
237,2025-01-01 08:07:00,32.96,Cook-Garza,Amex,Desktop,0,Veracruz,Restaurante,0,42
238,2025-01-02 01:18:00,2.46,"Dickerson, Rodriguez and Roberts",Amex,Tablet,0,EdoMex,Entretenimiento,0,32
239,2025-01-31 23:00:00,103.7,Brooks PLC,MasterCard,Tablet,0,Guanajuato,Servicios,0,6
240,2025-01-28 04:38:00,19.49,Blanchard-Holt,Discover,Tablet,0,CDMX,Turismo,0,14
241,2025-01-18 16:18:00,282.11,Phillips-Boyd,Visa,Mobile,0,Guanajuato,Supermercado,0,37
